model_name	checkpoint	alignment	letalone_acc	muchless_acc	nottomention_acc	nevermind_acc
jhu-clsp/ettin-encoder-150m	NONE	All	0.605330	0.551889	0.541032	0.509870
jhu-clsp/ettin-encoder-150m	NONE	Aligned	0.813593	0.841794	0.692611	0.772702
jhu-clsp/ettin-encoder-150m	NONE	Misaligned	0.397067	0.261985	0.389453	0.247039
jhu-clsp/ettin-encoder-150m	decay1395	All	0.532008	0.562465	0.479977	0.414693
jhu-clsp/ettin-encoder-150m	decay1395	Aligned	0.596729	0.765369	0.564016	0.577834
jhu-clsp/ettin-encoder-150m	decay1395	Misaligned	0.467287	0.359560	0.395939	0.251551
jhu-clsp/ettin-encoder-150m	decay4187	All	0.637197	0.665257	0.489848	0.494219
jhu-clsp/ettin-encoder-150m	decay4187	Aligned	0.771010	0.893965	0.611111	0.728990
jhu-clsp/ettin-encoder-150m	decay4187	Misaligned	0.503384	0.436548	0.368584	0.259447
jhu-clsp/ettin-encoder-150m	decay6978	All	0.607022	0.564439	0.541314	0.506909
jhu-clsp/ettin-encoder-150m	decay6978	Aligned	0.794134	0.851664	0.668923	0.722504
jhu-clsp/ettin-encoder-150m	decay6978	Misaligned	0.419910	0.277214	0.413706	0.291314
jhu-clsp/ettin-encoder-150m	decay8210	All	0.605330	0.551889	0.541032	0.509870
jhu-clsp/ettin-encoder-150m	decay8210	Aligned	0.813593	0.841794	0.692611	0.772702
jhu-clsp/ettin-encoder-150m	decay8210	Misaligned	0.397067	0.261985	0.389453	0.247039
jhu-clsp/ettin-encoder-150m	ext10373	All	0.503384	0.498308	0.427101	0.403835
jhu-clsp/ettin-encoder-150m	ext10373	Aligned	0.697970	0.635928	0.521997	0.523971
jhu-clsp/ettin-encoder-150m	ext10373	Misaligned	0.308799	0.360688	0.332205	0.283700
jhu-clsp/ettin-encoder-150m	ext20747	All	0.501128	0.614354	0.409757	0.502820
jhu-clsp/ettin-encoder-150m	ext20747	Aligned	0.731246	0.813593	0.494360	0.698534
jhu-clsp/ettin-encoder-150m	ext20747	Misaligned	0.271010	0.415116	0.325155	0.307107
jhu-clsp/ettin-encoder-150m	ext31122	All	0.530598	0.511280	0.499718	0.500423
jhu-clsp/ettin-encoder-150m	ext31122	Aligned	0.561196	0.522561	0.499436	0.500846
jhu-clsp/ettin-encoder-150m	ext31122	Misaligned	0.500000	0.500000	0.500000	0.500000
jhu-clsp/ettin-encoder-150m	ext41497	All	0.569515	0.572194	0.474619	0.421884
jhu-clsp/ettin-encoder-150m	ext41497	Aligned	0.707558	0.743091	0.537507	0.509024
jhu-clsp/ettin-encoder-150m	ext41497	Misaligned	0.431472	0.401297	0.411732	0.334743
jhu-clsp/ettin-encoder-150m	ext50854	All	0.639735	0.640863	0.499859	0.486464
jhu-clsp/ettin-encoder-150m	ext50854	Aligned	0.797518	0.796108	0.523971	0.513818
jhu-clsp/ettin-encoder-150m	ext50854	Misaligned	0.481951	0.485618	0.475747	0.459109
jhu-clsp/ettin-encoder-150m	step23984	All	0.440919	0.429639	0.443034	0.473491
jhu-clsp/ettin-encoder-150m	step23984	Aligned	0.409757	0.574732	0.490412	0.567400
jhu-clsp/ettin-encoder-150m	step23984	Misaligned	0.472081	0.284546	0.395657	0.379583
jhu-clsp/ettin-encoder-150m	step101918	All	0.428511	0.321207	0.436689	0.444021
jhu-clsp/ettin-encoder-150m	step101918	Aligned	0.386915	0.410321	0.455725	0.426678
jhu-clsp/ettin-encoder-150m	step101918	Misaligned	0.470107	0.232092	0.417654	0.461365
jhu-clsp/ettin-encoder-150m	step182854	All	0.511562	0.582910	0.513254	0.469120
jhu-clsp/ettin-encoder-150m	step182854	Aligned	0.515510	0.745911	0.523125	0.511562
jhu-clsp/ettin-encoder-150m	step182854	Misaligned	0.507614	0.419910	0.503384	0.426678
jhu-clsp/ettin-encoder-150m	step260793	All	0.498167	0.472786	0.477157	0.449944
jhu-clsp/ettin-encoder-150m	step260793	Aligned	0.494078	0.549915	0.486182	0.478003
jhu-clsp/ettin-encoder-150m	step260793	Misaligned	0.502256	0.395657	0.468133	0.421884
jhu-clsp/ettin-encoder-150m	step398684	All	0.500423	0.497039	0.449239	0.480400
jhu-clsp/ettin-encoder-150m	step398684	Aligned	0.507614	0.519459	0.449803	0.492668
jhu-clsp/ettin-encoder-150m	step398684	Misaligned	0.493232	0.474619	0.448675	0.468133
jhu-clsp/ettin-encoder-150m	step482620	All	0.550761	0.536520	0.512126	0.513818
jhu-clsp/ettin-encoder-150m	step482620	Aligned	0.640440	0.605471	0.620135	0.551325
jhu-clsp/ettin-encoder-150m	step482620	Misaligned	0.461083	0.467569	0.404117	0.476311
jhu-clsp/ettin-encoder-150m	step560558	All	0.508319	0.561478	0.459673	0.374506
jhu-clsp/ettin-encoder-150m	step560558	Aligned	0.680485	0.743091	0.614213	0.577270
jhu-clsp/ettin-encoder-150m	step560558	Misaligned	0.336153	0.379865	0.305133	0.171743
jhu-clsp/ettin-encoder-150m	step599525	All	0.589961	0.516074	0.393965	0.527214
jhu-clsp/ettin-encoder-150m	step599525	Aligned	0.715454	0.722504	0.415398	0.696560
jhu-clsp/ettin-encoder-150m	step599525	Misaligned	0.464467	0.309645	0.372532	0.357868
